TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train,256_train
CHEMBL1006005,0.494140625,0.4922527584747517,0.0,0.0,0.557+/-0.04,0.555+/-0.038,0.529+/-0.037,0.554+/-0.037,
CHEMBL1066254,0.494140625,0.4823208717887617,0.0,0.0,0.596+/-0.061,0.652+/-0.035,0.723+/-0.064,0.721+/-0.121,
CHEMBL1119333,0.5,0.498240458289008,0.0,0.0,0.636+/-0.058,0.696+/-0.046,0.748+/-0.032,0.784+/-0.027,0.811+/-0.036
CHEMBL1243967,0.5,0.5,0.0,0.0,0.592+/-0.039,0.636+/-0.051,0.666+/-0.029,0.672+/-0.037,
CHEMBL1243970,0.5,0.5,0.0,0.0,0.593+/-0.04,0.62+/-0.037,0.663+/-0.033,0.695+/-0.033,
CHEMBL1613777,0.496875,0.49244683822904,0.0,0.0,0.506+/-0.017,0.524+/-0.02,0.545+/-0.019,0.564+/-0.014,0.586+/-0.017
CHEMBL1613800,0.39375,0.39689776888961076,0.0,0.0,0.401+/-0.009,0.404+/-0.013,0.414+/-0.01,0.427+/-0.012,0.446+/-0.008
CHEMBL1613898,0.5,0.4938275390663997,0.0,0.0,0.508+/-0.039,0.514+/-0.038,0.536+/-0.04,0.589+/-0.096,
CHEMBL1613907,0.494140625,0.48655235373501615,0.0,0.0,0.503+/-0.018,0.538+/-0.035,0.575+/-0.044,0.541+/-0.066,
CHEMBL1613926,0.5,0.4781182813614985,0.0,0.0,0.634+/-0.042,0.657+/-0.047,0.697+/-0.026,0.776+/-0.227,
CHEMBL1613949,0.3359375,0.34002478226331984,0.0,0.0,0.362+/-0.013,0.396+/-0.034,0.43+/-0.061,0.545+/-0.127,
CHEMBL1614027,0.5,0.49913527524857193,0.0,0.0,0.536+/-0.022,0.554+/-0.025,0.583+/-0.026,0.623+/-0.014,0.654+/-0.011
CHEMBL1614153,0.33125,0.3348484157792916,0.0,0.0,0.335+/-0.009,0.346+/-0.009,0.352+/-0.009,0.361+/-0.01,0.367+/-0.012
CHEMBL1614292,0.353125,0.3499394881765983,0.0,0.0,0.354+/-0.011,0.357+/-0.013,0.365+/-0.013,0.37+/-0.009,0.378+/-0.01
CHEMBL1614423,0.37734375,0.3802097121050365,0.0,0.0,0.459+/-0.031,0.534+/-0.045,0.588+/-0.04,0.65+/-0.036,0.676+/-0.04
CHEMBL1614433,0.42890625,0.4235015157725389,0.0,0.0,0.433+/-0.011,0.44+/-0.023,0.47+/-0.024,0.49+/-0.021,0.528+/-0.018
CHEMBL1614466,0.42109375,0.4188410827123583,0.0,0.0,0.431+/-0.029,0.453+/-0.027,0.453+/-0.018,0.465+/-0.013,0.466+/-0.024
CHEMBL1614503,0.3125,0.3187259649622561,0.0,0.0,0.373+/-0.044,0.374+/-0.045,0.459+/-0.053,0.615+/-0.23,
CHEMBL1614508,0.4609375,0.4669557051946646,0.0,0.0,0.703+/-0.045,0.754+/-0.025,0.757+/-0.041,0.8+/-0.065,
CHEMBL1614522,0.5,0.4984509249973576,0.0,0.0,0.534+/-0.042,0.546+/-0.031,0.559+/-0.028,0.585+/-0.014,0.592+/-0.021
CHEMBL1737951,0.375,0.37171898896805067,0.0,0.0,0.554+/-0.029,0.63+/-0.03,0.671+/-0.038,0.712+/-0.035,
CHEMBL1738079,0.4921875,0.4873977411477411,0.0,0.0,0.485+/-0.023,0.485+/-0.023,0.511+/-0.031,0.505+/-0.02,
CHEMBL1738362,0.3125,0.2991870609445262,0.0,0.0,0.368+/-0.041,0.439+/-0.049,0.467+/-0.066,0.592+/-0.172,
CHEMBL1738395,0.5,0.49455401000965027,0.0,0.0,0.511+/-0.023,0.509+/-0.03,0.516+/-0.031,0.548+/-0.065,
CHEMBL1738485,0.5,0.5,0.0,0.0,0.526+/-0.027,0.532+/-0.024,0.544+/-0.037,0.559+/-0.019,0.608+/-0.048
