TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train,256_train
CHEMBL1006005,0.494140625,0.4922527584747517,0.0,0.0,0.598+/-0.053,0.613+/-0.038,0.624+/-0.039,0.635+/-0.059,
CHEMBL1066254,0.494140625,0.4823208717887617,0.0,0.0,0.696+/-0.073,0.744+/-0.051,0.793+/-0.059,0.849+/-0.084,
CHEMBL1119333,0.5,0.498240458289008,0.0,0.0,0.747+/-0.049,0.777+/-0.049,0.811+/-0.034,0.871+/-0.012,0.883+/-0.032
CHEMBL1243967,0.5,0.5,0.0,0.0,0.684+/-0.049,0.715+/-0.045,0.777+/-0.021,0.78+/-0.045,
CHEMBL1243970,0.5,0.5,0.0,0.0,0.656+/-0.058,0.695+/-0.047,0.755+/-0.043,0.749+/-0.035,
CHEMBL1613777,0.496875,0.49244683822904,0.0,0.0,0.528+/-0.032,0.56+/-0.037,0.593+/-0.03,0.616+/-0.035,0.658+/-0.018
CHEMBL1613800,0.39375,0.39689776888961076,0.0,0.0,0.405+/-0.014,0.415+/-0.017,0.448+/-0.022,0.469+/-0.031,0.523+/-0.026
CHEMBL1613898,0.5,0.4938275390663997,0.0,0.0,0.55+/-0.043,0.567+/-0.046,0.607+/-0.06,0.649+/-0.058,
CHEMBL1613907,0.494140625,0.48655235373501615,0.0,0.0,0.55+/-0.053,0.573+/-0.042,0.601+/-0.059,0.662+/-0.126,
CHEMBL1613926,0.5,0.4781182813614985,0.0,0.0,0.647+/-0.048,0.696+/-0.062,0.756+/-0.045,0.803+/-0.148,
CHEMBL1613949,0.3359375,0.34002478226331984,0.0,0.0,0.482+/-0.097,0.578+/-0.065,0.595+/-0.089,0.676+/-0.111,
CHEMBL1614027,0.5,0.49913527524857193,0.0,0.0,0.551+/-0.038,0.616+/-0.052,0.645+/-0.043,0.701+/-0.036,0.742+/-0.016
CHEMBL1614153,0.33125,0.3348484157792916,0.0,0.0,0.353+/-0.015,0.361+/-0.024,0.377+/-0.014,0.395+/-0.006,0.402+/-0.016
CHEMBL1614292,0.353125,0.3499394881765983,0.0,0.0,0.356+/-0.019,0.373+/-0.018,0.378+/-0.024,0.395+/-0.029,0.416+/-0.023
CHEMBL1614423,0.37734375,0.3802097121050365,0.0,0.0,0.638+/-0.101,0.715+/-0.087,0.789+/-0.023,0.827+/-0.022,0.843+/-0.022
CHEMBL1614433,0.42890625,0.4235015157725389,0.0,0.0,0.457+/-0.03,0.465+/-0.028,0.47+/-0.034,0.501+/-0.032,0.51+/-0.039
CHEMBL1614466,0.42109375,0.4188410827123583,0.0,0.0,0.452+/-0.052,0.485+/-0.06,0.509+/-0.045,0.536+/-0.038,0.568+/-0.03
CHEMBL1614503,0.3125,0.3187259649622561,0.0,0.0,0.495+/-0.05,0.517+/-0.061,0.596+/-0.076,0.753+/-0.206,
CHEMBL1614508,0.4609375,0.4669557051946646,0.0,0.0,0.841+/-0.021,0.862+/-0.027,0.872+/-0.026,0.901+/-0.045,
CHEMBL1614522,0.5,0.4984509249973576,0.0,0.0,0.553+/-0.051,0.578+/-0.035,0.607+/-0.031,0.651+/-0.025,0.675+/-0.019
CHEMBL1737951,0.375,0.37171898896805067,0.0,0.0,0.622+/-0.097,0.684+/-0.057,0.773+/-0.06,0.815+/-0.073,
CHEMBL1738079,0.4921875,0.4873977411477411,0.0,0.0,0.491+/-0.024,0.471+/-0.027,0.487+/-0.027,0.526+/-0.056,
CHEMBL1738362,0.3125,0.2991870609445262,0.0,0.0,0.478+/-0.057,0.547+/-0.077,0.636+/-0.083,0.719+/-0.189,
CHEMBL1738395,0.5,0.49455401000965027,0.0,0.0,0.527+/-0.057,0.521+/-0.029,0.517+/-0.05,0.55+/-0.058,
CHEMBL1738485,0.5,0.5,0.0,0.0,0.537+/-0.05,0.565+/-0.035,0.599+/-0.053,0.652+/-0.031,0.689+/-0.068
CHEMBL1738502,0.35625,0.352218876891842,0.0,0.0,0.401+/-0.067,0.436+/-0.049,0.498+/-0.039,0.522+/-0.045,0.599+/-0.036
CHEMBL1738573,0.5,0.5,0.0,0.0,0.521+/-0.036,0.535+/-0.028,0.563+/-0.024,0.577+/-0.018,0.603+/-0.017
CHEMBL1738579,0.4765625,0.4730754904010718,0.0,0.0,0.524+/-0.044,0.556+/-0.056,0.594+/-0.036,0.691+/-0.045,
CHEMBL1738633,0.5,0.4898738735401718,0.0,0.0,0.59+/-0.053,0.612+/-0.049,0.652+/-0.056,0.707+/-0.099,
CHEMBL1794324,0.490625,0.4852315330406838,0.0,0.0,0.515+/-0.042,0.529+/-0.02,0.563+/-0.041,0.597+/-0.027,0.642+/-0.016
CHEMBL1794504,0.501953125,0.5085318816521824,0.0,0.0,0.652+/-0.051,0.743+/-0.049,0.832+/-0.059,1.0+/-0.0,
CHEMBL1794519,0.5,0.5,0.0,0.0,0.794+/-0.053,0.817+/-0.025,0.842+/-0.024,0.842+/-0.054,
CHEMBL1794557,0.5,0.5,0.0,0.0,0.518+/-0.017,0.526+/-0.029,0.551+/-0.029,0.561+/-0.023,0.589+/-0.025
CHEMBL1963701,0.5,0.5,0.0,0.0,0.514+/-0.028,0.53+/-0.031,0.548+/-0.021,0.59+/-0.019,0.62+/-0.022
CHEMBL1963705,0.42890625,0.42376298390045203,0.0,0.0,0.551+/-0.091,0.588+/-0.073,0.624+/-0.042,0.687+/-0.018,0.716+/-0.016
CHEMBL1963715,0.37578125,0.3770856432995851,0.0,0.0,0.457+/-0.063,0.481+/-0.055,0.552+/-0.041,0.604+/-0.038,0.644+/-0.033
