TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train,256_train
CHEMBL1006005,0.494140625,0.4922527584747517,0.0,0.0,0.551+/-0.052,0.572+/-0.047,0.595+/-0.028,0.6+/-0.037,
CHEMBL1066254,0.494140625,0.4823208717887617,0.0,0.0,0.722+/-0.064,0.788+/-0.049,0.814+/-0.042,0.822+/-0.133,
CHEMBL1119333,0.5,0.498240458289008,0.0,0.0,0.796+/-0.043,0.805+/-0.031,0.83+/-0.019,0.851+/-0.012,0.86+/-0.032
CHEMBL1243967,0.5,0.5,0.0,0.0,0.786+/-0.033,0.819+/-0.041,0.839+/-0.014,0.859+/-0.026,
CHEMBL1243970,0.5,0.5,0.0,0.0,0.731+/-0.071,0.758+/-0.033,0.806+/-0.04,0.812+/-0.035,
CHEMBL1613777,0.496875,0.49244683822904,0.0,0.0,0.541+/-0.052,0.573+/-0.034,0.602+/-0.037,0.629+/-0.046,0.65+/-0.025
CHEMBL1613800,0.39375,0.39689776888961076,0.0,0.0,0.438+/-0.021,0.453+/-0.025,0.457+/-0.016,0.475+/-0.014,0.499+/-0.011
CHEMBL1613898,0.5,0.4938275390663997,0.0,0.0,0.592+/-0.033,0.623+/-0.044,0.622+/-0.037,0.661+/-0.083,
CHEMBL1613907,0.494140625,0.48655235373501615,0.0,0.0,0.584+/-0.055,0.636+/-0.049,0.656+/-0.039,0.669+/-0.151,
CHEMBL1613926,0.5,0.4781182813614985,0.0,0.0,0.701+/-0.066,0.742+/-0.065,0.788+/-0.033,0.865+/-0.142,
CHEMBL1613949,0.3359375,0.34002478226331984,0.0,0.0,0.557+/-0.057,0.597+/-0.052,0.641+/-0.045,0.665+/-0.129,
CHEMBL1614027,0.5,0.49913527524857193,0.0,0.0,0.554+/-0.039,0.581+/-0.026,0.63+/-0.032,0.666+/-0.021,0.695+/-0.017
CHEMBL1614153,0.33125,0.3348484157792916,0.0,0.0,0.343+/-0.028,0.363+/-0.021,0.373+/-0.019,0.397+/-0.017,0.402+/-0.014
CHEMBL1614292,0.353125,0.3499394881765983,0.0,0.0,0.373+/-0.016,0.382+/-0.013,0.386+/-0.016,0.398+/-0.022,0.418+/-0.021
CHEMBL1614423,0.37734375,0.3802097121050365,0.0,0.0,0.665+/-0.104,0.705+/-0.076,0.776+/-0.026,0.812+/-0.015,0.828+/-0.025
CHEMBL1614433,0.42890625,0.4235015157725389,0.0,0.0,0.5+/-0.039,0.511+/-0.042,0.512+/-0.027,0.539+/-0.025,0.565+/-0.041
CHEMBL1614466,0.42109375,0.4188410827123583,0.0,0.0,0.474+/-0.037,0.487+/-0.032,0.499+/-0.018,0.522+/-0.02,0.533+/-0.021
CHEMBL1614503,0.3125,0.3187259649622561,0.0,0.0,0.496+/-0.059,0.547+/-0.08,0.6+/-0.056,0.732+/-0.27,
CHEMBL1614508,0.4609375,0.4669557051946646,0.0,0.0,0.868+/-0.023,0.885+/-0.017,0.893+/-0.014,0.905+/-0.03,
CHEMBL1614522,0.5,0.4984509249973576,0.0,0.0,0.588+/-0.05,0.614+/-0.039,0.621+/-0.03,0.651+/-0.018,0.678+/-0.016
CHEMBL1737951,0.375,0.37171898896805067,0.0,0.0,0.673+/-0.061,0.716+/-0.044,0.786+/-0.062,0.793+/-0.066,
CHEMBL1738079,0.4921875,0.4873977411477411,0.0,0.0,0.499+/-0.049,0.49+/-0.03,0.492+/-0.025,0.528+/-0.04,
CHEMBL1738362,0.3125,0.2991870609445262,0.0,0.0,0.49+/-0.067,0.563+/-0.056,0.63+/-0.079,0.685+/-0.212,
CHEMBL1738395,0.5,0.49455401000965027,0.0,0.0,0.524+/-0.035,0.513+/-0.046,0.514+/-0.037,0.549+/-0.052,
CHEMBL1738485,0.5,0.5,0.0,0.0,0.565+/-0.022,0.589+/-0.025,0.62+/-0.034,0.633+/-0.018,0.699+/-0.075
CHEMBL1738502,0.35625,0.352218876891842,0.0,0.0,0.451+/-0.079,0.469+/-0.043,0.518+/-0.027,0.545+/-0.028,0.571+/-0.023
CHEMBL1738573,0.5,0.5,0.0,0.0,0.52+/-0.037,0.535+/-0.025,0.552+/-0.024,0.573+/-0.022,0.592+/-0.013
CHEMBL1738579,0.4765625,0.4730754904010718,0.0,0.0,0.567+/-0.059,0.626+/-0.052,0.63+/-0.036,0.69+/-0.044,
CHEMBL1738633,0.5,0.4898738735401718,0.0,0.0,0.594+/-0.047,0.622+/-0.029,0.635+/-0.063,0.69+/-0.126,
CHEMBL1794324,0.490625,0.4852315330406838,0.0,0.0,0.532+/-0.028,0.542+/-0.025,0.576+/-0.039,0.613+/-0.022,0.641+/-0.015
CHEMBL1794504,0.501953125,0.5085318816521824,0.0,0.0,0.72+/-0.062,0.783+/-0.044,0.824+/-0.051,0.85+/-0.242,
CHEMBL1794519,0.5,0.5,0.0,0.0,0.762+/-0.039,0.791+/-0.008,0.826+/-0.023,0.802+/-0.046,
CHEMBL1794557,0.5,0.5,0.0,0.0,0.511+/-0.016,0.531+/-0.021,0.543+/-0.026,0.539+/-0.025,0.559+/-0.015
CHEMBL1963701,0.5,0.5,0.0,0.0,0.559+/-0.056,0.586+/-0.038,0.611+/-0.034,0.654+/-0.024,0.671+/-0.024
CHEMBL1963705,0.42890625,0.42376298390045203,0.0,0.0,0.769+/-0.038,0.801+/-0.021,0.823+/-0.013,0.843+/-0.015,0.852+/-0.02
CHEMBL1963715,0.37578125,0.3770856432995851,0.0,0.0,0.63+/-0.097,0.671+/-0.03,0.709+/-0.02,0.737+/-0.029,0.756+/-0.02
CHEMBL1963721,0.32109375,0.32644553940689763,0.0,0.0,0.486+/-0.082,0.54+/-0.05,0.574+/-0.045,0.621+/-0.037,0.67+/-0.088
CHEMBL1963723,0.45390625,0.4555803010366116,0.0,0.0,0.776+/-0.054,0.807+/-0.036,0.846+/-0.014,0.866+/-0.006,0.877+/-0.005
CHEMBL1963731,0.38359375,0.3875741537336932,0.0,0.0,0.802+/-0.047,0.834+/-0.023,0.869+/-0.016,0.885+/-0.012,0.893+/-0.013
