TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train,256_train
CHEMBL1006005,0.49609803921568624,0.4922527584747517,0.0,0.005163977794943225,0.538+/-0.031,0.541+/-0.033,0.55+/-0.028,0.556+/-0.059,
CHEMBL1066254,0.49609803921568624,0.4823208717887617,0.0,0.005163977794943225,0.645+/-0.049,0.636+/-0.085,0.771+/-0.066,0.856+/-0.114,
CHEMBL1119333,0.5011921568627451,0.498240458289008,0.0,0.00615627156730486,0.688+/-0.068,0.723+/-0.049,0.755+/-0.021,0.785+/-0.04,0.836+/-0.04
CHEMBL1243967,0.5019869281045751,0.5,0.0,0.010260452612174767,0.629+/-0.071,0.66+/-0.05,0.707+/-0.045,0.756+/-0.054,
CHEMBL1243970,0.5019869281045751,0.5,0.0,0.010260452612174767,0.63+/-0.06,0.654+/-0.045,0.704+/-0.024,0.752+/-0.047,
CHEMBL1613777,0.497270588235294,0.49244683822904,0.0,0.00615627156730486,0.518+/-0.036,0.528+/-0.024,0.543+/-0.019,0.568+/-0.02,0.591+/-0.017
CHEMBL1613800,0.3949019607843137,0.39689776888961076,0.0,0.0086066296582387,0.419+/-0.029,0.417+/-0.015,0.432+/-0.025,0.453+/-0.019,0.469+/-0.015
CHEMBL1613898,0.5014901960784314,0.4938275390663997,0.0,0.007695339459131075,0.548+/-0.039,0.544+/-0.059,0.583+/-0.041,0.609+/-0.082,
CHEMBL1613907,0.49609803921568624,0.48655235373501615,0.0,0.005163977794943225,0.596+/-0.049,0.624+/-0.072,0.674+/-0.062,0.704+/-0.153,
CHEMBL1613926,0.5014901960784314,0.4781182813614985,0.0,0.007695339459131075,0.61+/-0.045,0.6+/-0.062,0.689+/-0.057,0.735+/-0.186,
CHEMBL1613949,0.3473529411764706,0.34002478226331984,0.0,0.0,0.451+/-0.062,0.454+/-0.056,0.518+/-0.057,0.561+/-0.125,
CHEMBL1614027,0.5011921568627451,0.49913527524857193,0.0,0.00615627156730486,0.53+/-0.034,0.558+/-0.043,0.587+/-0.031,0.631+/-0.02,0.66+/-0.017
CHEMBL1614153,0.3396470588235294,0.3348484157792916,0.0,0.0,0.358+/-0.024,0.37+/-0.028,0.371+/-0.018,0.381+/-0.025,0.388+/-0.012
CHEMBL1614292,0.3604313725490196,0.3499394881765983,0.0,0.0086066296582387,0.363+/-0.016,0.368+/-0.013,0.375+/-0.022,0.379+/-0.015,0.376+/-0.017
CHEMBL1614423,0.37513725490196076,0.3802097121050365,0.0,0.0086066296582387,0.515+/-0.049,0.539+/-0.047,0.591+/-0.049,0.666+/-0.043,0.743+/-0.041
CHEMBL1614433,0.42721568627450984,0.4235015157725389,0.0,0.0,0.448+/-0.036,0.47+/-0.046,0.466+/-0.037,0.488+/-0.029,0.534+/-0.035
CHEMBL1614466,0.41725490196078435,0.4188410827123583,0.0,0.0,0.458+/-0.054,0.474+/-0.053,0.468+/-0.045,0.48+/-0.042,0.485+/-0.021
CHEMBL1614503,0.32019607843137254,0.3187259649622561,0.0,0.0,0.44+/-0.053,0.436+/-0.061,0.479+/-0.076,0.664+/-0.222,
CHEMBL1614508,0.45946078431372545,0.4669557051946646,0.0,0.0,0.763+/-0.066,0.846+/-0.037,0.873+/-0.027,0.907+/-0.053,
CHEMBL1614522,0.5011921568627451,0.4984509249973576,0.0,0.00615627156730486,0.544+/-0.043,0.551+/-0.016,0.561+/-0.018,0.58+/-0.027,0.601+/-0.023
CHEMBL1737951,0.37210784313725487,0.37171898896805067,0.0,0.010758287072798375,0.545+/-0.056,0.597+/-0.078,0.629+/-0.051,0.725+/-0.074,
CHEMBL1738079,0.4936470588235294,0.4873977411477411,0.0,0.005163977794943225,0.521+/-0.041,0.515+/-0.043,0.533+/-0.032,0.555+/-0.048,
CHEMBL1738362,0.32019607843137254,0.2991870609445262,0.0,0.0,0.523+/-0.065,0.562+/-0.106,0.625+/-0.048,0.838+/-0.144,
