TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train,256_train
CHEMBL2219189,0.5044705882352941,0.49245904432821336,0.0,0.0066643594623523005,0.659+/-0.019,0.645+/-0.049,0.646+/-0.041,0.622+/-0.097,
CHEMBL2219191,0.48029411764705876,0.47399050166063156,0.0,0.0,0.622+/-0.026,0.653+/-0.042,0.674+/-0.036,0.647+/-0.08,
CHEMBL2219194,0.4876470588235294,0.47776355130602166,0.0,0.0,0.617+/-0.023,0.615+/-0.017,0.619+/-0.021,0.691+/-0.065,
CHEMBL2219198,0.5044705882352941,0.49245904432821336,0.0,0.0066643594623523005,0.861+/-0.009,0.861+/-0.012,0.882+/-0.02,0.909+/-0.041,
CHEMBL2219202,0.5044705882352941,0.49245904432821336,0.0,0.0066643594623523005,0.775+/-0.04,0.8+/-0.012,0.807+/-0.031,0.816+/-0.046,
CHEMBL2219203,0.4876470588235294,0.47776355130602166,0.0,0.0,0.777+/-0.012,0.79+/-0.012,0.8+/-0.033,0.828+/-0.085,
CHEMBL2219208,0.4876470588235294,0.47776355130602166,0.0,0.0,0.712+/-0.011,0.735+/-0.023,0.746+/-0.035,0.764+/-0.051,
CHEMBL2219211,0.4876470588235294,0.48422477299442246,0.0,0.0,0.502+/-0.021,0.521+/-0.049,0.529+/-0.038,0.515+/-0.089,
CHEMBL2219223,0.4876470588235294,0.48422477299442246,0.0,0.0,0.6+/-0.046,0.636+/-0.027,0.619+/-0.03,0.656+/-0.133,
CHEMBL2219225,0.5044705882352941,0.49245904432821336,0.0,0.0066643594623523005,0.736+/-0.04,0.762+/-0.026,0.783+/-0.034,0.809+/-0.038,
CHEMBL2219232,0.5044705882352941,0.49245904432821336,0.0,0.0066643594623523005,0.658+/-0.015,0.663+/-0.029,0.687+/-0.04,0.671+/-0.09,
CHEMBL2219236,0.5044705882352941,0.49245904432821336,0.0,0.0066643594623523005,0.707+/-0.007,0.737+/-0.013,0.713+/-0.022,0.782+/-0.032,
CHEMBL2219242,0.43230392156862746,0.4422130972948666,0.0,0.0,0.626+/-0.054,0.676+/-0.018,0.677+/-0.068,0.666+/-0.068,
CHEMBL2219244,0.49809803921568624,0.48868599468282325,0.0,0.004472135954999575,0.827+/-0.02,0.853+/-0.024,0.854+/-0.038,0.87+/-0.071,
CHEMBL2219252,0.5044705882352941,0.49245904432821336,0.0,0.0066643594623523005,0.616+/-0.015,0.636+/-0.045,0.646+/-0.02,0.66+/-0.066,
CHEMBL2219267,0.5044705882352941,0.49245904432821336,0.0,0.0066643594623523005,0.587+/-0.035,0.612+/-0.057,0.63+/-0.063,0.67+/-0.142,
CHEMBL2219270,0.4876470588235294,0.48422477299442246,0.0,0.0,0.567+/-0.015,0.553+/-0.024,0.557+/-0.044,0.59+/-0.064,
