TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train,256_train
CHEMBL1006005,0.49609803921568624,0.4922527584747517,0.0,0.005163977794943225,0.499+/-0.043,0.53+/-0.06,0.54+/-0.037,0.558+/-0.047,
CHEMBL1066254,0.49609803921568624,0.4823208717887617,0.0,0.005163977794943225,0.521+/-0.033,0.532+/-0.025,0.548+/-0.04,0.642+/-0.148,
CHEMBL1119333,0.5011921568627451,0.498240458289008,0.0,0.00615627156730486,0.587+/-0.105,0.633+/-0.104,0.63+/-0.105,0.638+/-0.063,0.598+/-0.055
CHEMBL1243967,0.5019869281045751,0.5,0.0,0.010260452612174767,0.521+/-0.021,0.551+/-0.013,0.551+/-0.03,0.549+/-0.041,
CHEMBL1243970,0.5019869281045751,0.5,0.0,0.010260452612174767,0.63+/-0.036,0.643+/-0.024,0.634+/-0.038,0.638+/-0.043,
CHEMBL1613777,0.497270588235294,0.49244683822904,0.0,0.00615627156730486,0.478+/-0.033,0.473+/-0.029,0.498+/-0.047,0.472+/-0.029,0.48+/-0.048
CHEMBL1613800,0.3949019607843137,0.39689776888961076,0.0,0.0086066296582387,0.403+/-0.008,0.403+/-0.002,0.4+/-0.003,0.402+/-0.004,0.403+/-0.006
CHEMBL1613898,0.5014901960784314,0.4938275390663997,0.0,0.007695339459131075,0.504+/-0.014,0.508+/-0.017,0.509+/-0.031,0.529+/-0.059,
CHEMBL1613907,0.49609803921568624,0.48655235373501615,0.0,0.005163977794943225,0.533+/-0.023,0.536+/-0.019,0.566+/-0.031,0.581+/-0.109,
CHEMBL1613926,0.5014901960784314,0.4781182813614985,0.0,0.007695339459131075,0.499+/-0.026,0.494+/-0.024,0.507+/-0.035,0.55+/-0.17,
CHEMBL1613949,0.3473529411764706,0.34002478226331984,0.0,0.0,0.358+/-0.031,0.342+/-0.016,0.341+/-0.032,0.413+/-0.106,
CHEMBL1614027,0.5011921568627451,0.49913527524857193,0.0,0.00615627156730486,0.48+/-0.007,0.487+/-0.017,0.516+/-0.042,0.491+/-0.03,0.483+/-0.012
CHEMBL1614153,0.3396470588235294,0.3348484157792916,0.0,0.0,0.358+/-0.01,0.366+/-0.011,0.364+/-0.009,0.362+/-0.005,0.365+/-0.013
